,COUNTY_NAM,lon,lat
0,MCHENRY,-88.45249089660267,42.32433364527882
1,BOONE,-88.82336525697418,42.3230578203039
2,OGLE,-89.32065200222844,42.04274995106631
3,WILL,-87.97863642874509,41.44501297567469
4,LASALLE,-88.88591071941936,41.34401967998328
5,BUREAU,-89.52882648925724,41.4041045145899
6,HENRY,-90.13157212948339,41.35310769912718
7,GRUNDY,-88.41842195115916,41.28506168259617
8,MERCER,-90.74151783624417,41.20556453930824
9,PUTNAM,-89.28581996269027,41.204445679767474
10,MCLEAN,-88.84730649802042,40.49086312554049
11,TAZEWELL,-89.5133982362351,40.507511783656184
12,FULTON,-90.20744173381456,40.472766051120594
13,ADAMS,-91.18843018522219,39.98784228229146
14,CHAMPAIGN,-88.1991302854328,40.14001850787667
15,LOGAN,-89.36749073066731,40.12456482065538
16,PIATT,-88.59097544343784,40.010383496955725
17,STARK,-89.79815628301509,41.09338173407641
18,KNOX,-90.21339083412798,40.93174635031615
19,MARSHALL,-89.34513128767225,41.033207935224546
20,LIVINGSTON,-88.55792472104483,40.891591949869834
21,HENDERSON,-90.92512756121407,40.818301909661514
22,WARREN,-90.61506828945915,40.84908050383756
23,IROQUOIS,-87.82435925801543,40.7471958706679
24,PEORIA,-89.76005824147582,40.788059905270515
25,WOODFORD,-89.21136817572759,40.78830831189548
26,CARROLL,-89.9342440981197,42.06895914947736
27,KANE,-88.42859931106366,41.938807796866065
28,DEKALB,-88.77027213096522,41.89353395972741
29,COOK,-87.81688825140023,41.84005787976535
30,ROCK ISLAND,-90.56741424486665,41.46728984576223
31,KENDALL,-88.42881742192513,41.59052822888232
32,KANKAKEE,-87.86178071918557,41.13766322791617
33,FORD,-88.22337109128875,40.59711379987013
34,MENARD,-89.80198354530621,40.02744571441937
35,MASON,-89.9167675981441,40.239652184523166
36,DEWITT,-88.90407055740599,40.17460140796103
37,SCHUYLER,-90.61515413071693,40.15808170349623
38,HANCOCK,-91.16470273776844,40.40366125765386
39,BROWN,-90.75036556525059,39.961822443959306
40,DOUGLAS,-88.2171305602396,39.76937594005021
41,PIKE,-90.8857638296235,39.62278927536245
42,CASS,-90.24713416428895,39.973756509704856
43,CUMBERLAND,-88.24002723781123,39.27324562723389
44,CALHOUN,-90.6675033302368,39.16924603958179
45,CLAY,-88.49025019534636,38.754158473174705
46,JERSEY,-90.35627838634974,39.08554742322583
47,EFFINGHAM,-88.58981494546605,39.059843094808286
48,GREENE,-90.39036557689326,39.35625297066779
49,CLINTON,-89.42252517761565,38.60643698009292
50,WABASH,-87.84434848620951,38.44596958206542
51,EDWARDS,-88.05327422756642,38.416525849068584
52,WASHINGTON,-89.41044973574978,38.35218601800943
53,RICHLAND,-88.08513939253444,38.7123108757632
54,RANDOLPH,-89.82426160497435,38.05219737333158
55,PERRY,-89.36706641495749,38.08373225351242
56,FRANKLIN,-88.92427789432416,37.992224236613296
57,JACKSON,-89.38330222568841,37.78482374087654
58,SALINE,-88.54080288236186,37.75314167473009
59,WHITE,-88.17965884716497,38.087432276605355
60,PULASKI,-89.12649891051903,37.22301123388611
61,ALEXANDER,-89.33759412062405,37.19138193315777
62,DUPAGE,-88.08560788526657,41.85193853359537
63,WHITESIDE,-89.91390269585885,41.75643400200653
64,LEE,-89.30021015764522,41.746155460850254
65,JO DAVIESS,-90.21243946950413,42.365901213112274
66,STEPHENSON,-89.66234030369094,42.351910803851126
67,WINNEBAGO,-89.16077976947872,42.336342300457204
68,LAKE,-88.00360030794532,42.323267255666
69,GALLATIN,-88.23050066547047,37.76275334760637
70,WILLIAMSON,-88.9299572281238,37.73018051265066
71,JOHNSON,-88.88089985541498,37.45969105814041
72,HAMILTON,-88.53916375218073,38.08157397801911
73,HARDIN,-88.26698365367687,37.51827909546199
74,MASSAC,-88.70777445576769,37.219091821974416
75,MCDONOUGH,-90.67789263521286,40.45624701856482
76,VERMILION,-87.73278610850356,40.183434364773085
77,MACON,-88.96153637773246,39.86004304687642
78,SANGAMON,-89.65861836987476,39.75826402716204
79,EDGAR,-87.74556660919735,39.678514324190644
80,MORGAN,-90.20133792947695,39.71569966328755
81,CHRISTIAN,-89.2772120477913,39.545726735551675
82,MOULTRIE,-88.6193821739465,39.64166121994193
83,SCOTT,-90.47467751660332,39.64424873728876
84,COLES,-88.2220632073337,39.52021156902254
85,SHELBY,-88.80553060369175,39.391260151453004
86,MONTGOMERY,-89.47886058126065,39.231024421021594
87,MACOUPIN,-89.92430982335549,39.26105768491038
88,CLARK,-87.78776545448927,39.33356827591558
89,CRAWFORD,-87.75953548327526,39.00269436069601
90,JASPER,-88.15380888358723,39.00995315065798
91,BOND,-89.43552546792185,38.88683773177142
92,MADISON,-89.90499575849653,38.82970058935151
93,FAYETTE,-89.02408491087368,39.000129922571986
94,ST. CLAIR,-89.92846316680817,38.47032887304532
95,WAYNE,-88.42560726708774,38.42954883672009
96,MONROE,-90.17726667620849,38.27836899135993
97,JEFFERSON,-88.9240033586466,38.30053321915509
98,LAWRENCE,-87.72676104882713,38.7199058780405
99,MARION,-88.9189298972354,38.64955483818069
100,UNION,-89.2550965252775,37.471235793484276
101,POPE,-88.56166054086079,37.41271438058437
